Objects,Meters
Space Needle,184 
Burj Khalifa , 829.8
Olympus Mons,21287.40
UC Students 2018,13314.84
Mount Everest,8848.00
Mount Kilimanjaro,5895.00
CN Tower,553.30
Eiffel Tower,324.00
Tallest Redwood Tree,115.52
blue whale,29.90
